force,height,time
-3.96396396396396e-08,7.53651314030753e-08,0.0002049999999999
-9.60960960960961e-08,2.91447806324989e-06,0.007225
-1.52552552552553e-07,4.5604501398023e-06,0.011435
-2.09009009009009e-07,6.05494713913318e-06,0.015175
-2.65465465465466e-07,7.3299150499727e-06,0.01842
-3.21921921921922e-07,8.49235374650681e-06,0.02135
-3.78378378378378e-07,9.52159438752518e-06,0.023955
-4.34834834834835e-07,1.04783655273496e-05,0.02639
-4.91291291291291e-07,1.13709743239923e-05,0.02866
-5.47747747747748e-07,1.2228741572556e-05,0.030845
-6.04204204204204e-07,1.30572536228115e-05,0.032955
-6.60660660660661e-07,1.38465113213991e-05,0.034975
-7.17117117117117e-07,1.4621669419247e-05,0.036955
-7.73573573573574e-07,1.53827004938315e-05,0.0389
-8.3003003003003e-07,1.6118745411371e-05,0.040785
-8.86486486486487e-07,1.68394355475312e-05,0.042635
-9.42942942942943e-07,1.75547193873149e-05,0.04447
-9.99399399399399e-07,1.8248584549569e-05,0.046255
-1.05585585585586e-06,1.89398008165714e-05,0.048025
-1.11231231231231e-06,1.96084927958524e-05,0.04975
